time,MET,T_C,RH_pct,P_hPa
 275.5s,29313,24.90,45.0,993.2
 276.0s,29314,24.90,45.0,993.2
 276.5s,29315,24.80,45.0,993.2
 277.0s,29316,24.80,45.0,993.0
 277.5s,29317,24.80,45.0,993.0
 278.0s,29318,24.80,45.0,993.0
 278.5s,29319,24.80,45.0,993.2
 279.0s,29320,24.80,45.0,993.2
 279.5s,29321,24.80,45.0,993.2
 280.0s,29322,24.80,45.0,993.2
 280.5s,29323,24.80,45.0,993.2
 281.0s,29324,24.80,45.0,993.2
 281.5s,29325,24.80,45.0,993.0
 282.0s,29326,24.80,45.0,993.0
 282.5s,29327,24.80,45.0,993.2
 283.0s,29328,24.80,45.0,993.2
 283.5s,29329,24.80,45.0,993.2
 284.0s,29330,24.80,45.0,993.2
 284.5s,29331,24.80,45.0,993.2
 285.0s,29332,24.70,45.0,993.2
 285.5s,29333,24.70,45.0,993.0
 286.0s,29334,24.70,45.0,993.2
 286.5s,29335,24.70,45.0,993.2
 287.0s,29336,24.70,45.0,993.2
 287.5s,29337,24.70,45.0,993.0
 288.0s,29338,24.70,45.0,993.0
 288.5s,29339,24.70,45.0,993.0
 289.0s,29340,24.70,45.0,993.0
 289.5s,29341,24.70,45.0,993.2
 290.0s,29342,24.70,45.0,993.2
 290.5s,29343,24.70,45.0,993.2
 291.0s,29344,24.70,45.0,993.2
 291.5s,29345,24.70,45.0,993.0
 292.0s,29346,24.70,45.0,993.0
 292.5s,29347,24.70,45.0,993.0
 293.0s,29348,24.70,45.0,993.0
 293.5s,29349,24.70,45.0,993.2
 294.0s,29350,24.70,45.0,993.2
 294.5s,29351,24.70,45.0,993.2
 295.0s,29352,24.70,45.0,993.2
 295.5s,29353,24.60,45.0,993.2
 296.0s,29354,24.60,45.0,993.2
 296.5s,29355,24.60,45.0,993.2
 297.0s,29356,24.60,45.0,993.2
 297.5s,29357,24.60,45.0,993.2
 298.0s,29358,24.60,45.0,993.2
 298.5s,29359,24.60,45.0,993.2
 299.0s,29360,24.60,45.0,993.2
 299.5s,29361,24.60,45.0,993.2
 300.0s,29362,24.60,45.0,993.2
 300.5s,29363,24.60,45.0,993.2
 301.0s,29364,24.60,45.0,993.2
 301.5s,29365,24.60,45.0,993.2
 302.0s,29366,24.60,45.0,993.2
 302.5s,29367,24.60,45.0,993.2
 303.0s,29368,24.60,45.0,993.2
 303.5s,29369,24.60,45.0,993.2
 304.0s,29370,24.60,45.0,993.2
 304.5s,29371,24.60,45.0,993.2
